date,usage_cpu,usage_storage,users_active,economic_index,cloud_market_demand,holiday,region_East US,region_North Europe,region_Southeast Asia,region_West US,resource_type_Container,resource_type_Storage,resource_type_VM
2023-01-01,88,1959,470,104.97,0.99,1,1,0,0,0,0,0,1
2023-01-01,92,1595,388,104.97,0.99,1,1,0,0,0,0,1,0
2023-01-01,70,621,414,104.97,0.99,1,1,0,0,0,1,0,0
2023-01-01,60,1982,287,104.97,0.99,1,0,0,0,1,0,0,1
2023-01-01,85,1371,351,104.97,0.99,1,0,0,0,1,0,1,0
2023-01-01,52,1832,457,104.97,0.99,1,0,0,0,1,1,0,0
2023-01-01,73,1937,493,104.97,0.99,1,0,1,0,0,0,0,1
2023-01-01,51,1715,476,104.97,0.99,1,0,1,0,0,0,1,0
2023-01-01,82,959,221,104.97,0.99,1,0,1,0,0,1,0,0
2023-01-01,93,1356,248,104.97,0.99,1,0,0,1,0,0,0,1
2023-01-01,76,1582,369,104.97,0.99,1,0,0,1,0,0,1,0
2023-01-01,77,1199,470,104.97,0.99,1,0,0,1,0,1,0,0
2023-01-02,96,1457,250,106.48,1.15,0,1,0,0,0,0,0,1
2023-01-02,93,1767,330,106.48,1.15,0,1,0,0,0,0,1,0
2023-01-02,86,1146,220,106.48,1.15,0,1,0,0,0,1,0,0
2023-01-02,58,666,473,106.48,1.15,0,0,0,0,1,0,0,1
2023-01-02,53,1100,213,106.48,1.15,0,0,0,0,1,0,1,0
2023-01-02,99,1276,252,106.48,1.15,0,0,0,0,1,1,0,0
2023-01-02,51,1863,291,106.48,1.15,0,0,1,0,0,0,0,1
2023-01-02,96,1455,463,106.48,1.15,0,0,1,0,0,0,1,0
2023-01-02,96,534,405,106.48,1.15,0,0,1,0,0,1,0,0
2023-01-02,66,1911,201,106.48,1.15,0,0,0,1,0,0,0,1
2023-01-02,55,1065,305,106.48,1.15,0,0,0,1,0,0,1,0
2023-01-02,53,1202,417,106.48,1.15,0,0,0,1,0,1,0,0
2023-01-03,93,661,401,97.66,0.98,0,1,0,0,0,0,0,1
2023-01-03,85,769,470,97.66,0.98,0,1,0,0,0,0,1,0
2023-01-03,57,1985,414,97.66,0.98,0,1,0,0,0,1,0,0
2023-01-03,89,1219,436,97.66,0.98,0,0,0,0,1,0,0,1
2023-01-03,67,1378,252,97.66,0.98,0,0,0,0,1,0,1,0
2023-01-03,73,716,451,97.66,0.98,0,0,0,0,1,1,0,0
2023-01-03,94,1564,356,97.66,0.98,0,0,1,0,0,0,0,1
2023-01-03,64,564,208,97.66,0.98,0,0,1,0,0,0,1,0
2023-01-03,73,1652,335,97.66,0.98,0,0,1,0,0,1,0,0
2023-01-03,73,1586,338,97.66,0.98,0,0,0,1,0,0,0,1
2023-01-03,66,891,362,97.66,0.98,0,0,0,1,0,0,1,0
2023-01-03,84,788,460,97.66,0.98,0,0,0,1,0,1,0,0
2023-01-04,91,730,240,115.79,1.08,0,1,0,0,0,0,0,1
2023-01-04,77,634,400,115.79,1.08,0,1,0,0,0,0,1,0
2023-01-04,57,1279,232,115.79,1.08,0,1,0,0,0,1,0,0
2023-01-04,97,1002,261,115.79,1.08,0,0,0,0,1,0,0,1
2023-01-04,73,1304,298,115.79,1.08,0,0,0,0,1,0,1,0
2023-01-04,93,1225,234,115.79,1.08,0,0,0,0,1,1,0,0
2023-01-04,50,1112,330,115.79,1.08,0,0,1,0,0,0,0,1
2023-01-04,50,1528,417,115.79,1.08,0,0,1,0,0,0,1,0
2023-01-04,63,1370,482,115.79,1.08,0,0,1,0,0,1,0,0
2023-01-04,58,706,214,115.79,1.08,0,0,0,1,0,0,0,1
2023-01-04,75,1391,378,115.79,1.08,0,0,0,1,0,0,1,0
2023-01-04,81,1242,440,115.79,1.08,0,0,0,1,0,1,0,0
2023-01-05,81,984,430,95.31,1.05,0,1,0,0,0,0,0,1
2023-01-05,94,1694,228,95.31,1.05,0,1,0,0,0,0,1,0
2023-01-05,85,1024,359,95.31,1.05,0,1,0,0,0,1,0,0
2023-01-05,56,1766,285,95.31,1.05,0,0,0,0,1,0,0,1
2023-01-05,77,1077,369,95.31,1.05,0,0,0,0,1,0,1,0
2023-01-05,94,1512,333,95.31,1.05,0,0,0,0,1,1,0,0
2023-01-05,77,1551,307,95.31,1.05,0,0,1,0,0,0,0,1
2023-01-05,93,1863,485,95.31,1.05,0,0,1,0,0,0,1,0
2023-01-05,60,1871,430,95.31,1.05,0,0,1,0,0,1,0,0
2023-01-05,82,1908,482,95.31,1.05,0,0,0,1,0,0,0,1
2023-01-05,62,1782,397,95.31,1.05,0,0,0,1,0,0,1,0
2023-01-05,57,1934,336,95.31,1.05,0,0,0,1,0,1,0,0
2023-01-06,86,1748,433,95.37,0.95,0,1,0,0,0,0,0,1
2023-01-06,93,1163,359,95.37,0.95,0,1,0,0,0,0,1,0
2023-01-06,81,1995,432,95.37,0.95,0,1,0,0,0,1,0,0
2023-01-06,98,941,251,95.37,0.95,0,0,0,0,1,0,0,1
2023-01-06,61,1909,312,95.37,0.95,0,0,0,0,1,0,1,0
2023-01-06,86,1451,280,95.37,0.95,0,0,0,0,1,1,0,0
2023-01-06,98,501,329,95.37,0.95,0,0,1,0,0,0,0,1
2023-01-06,77,1354,423,95.37,0.95,0,0,1,0,0,0,1,0
2023-01-06,82,884,325,95.37,0.95,0,0,1,0,0,1,0,0
2023-01-06,51,1576,371,95.37,0.95,0,0,0,1,0,0,0,1
2023-01-06,75,1939,446,95.37,0.95,0,0,0,1,0,0,1,0
2023-01-06,53,1962,402,95.37,0.95,0,0,0,1,0,1,0,0
2023-01-07,66,1266,493,102.42,0.81,1,1,0,0,0,0,0,1
2023-01-07,73,1383,297,102.42,0.81,1,1,0,0,0,0,1,0
2023-01-07,55,1481,439,102.42,0.81,1,1,0,0,0,1,0,0
2023-01-07,65,1108,400,102.42,0.81,1,0,0,0,1,0,0,1
2023-01-07,55,963,458,102.42,0.81,1,0,0,0,1,0,1,0
2023-01-07,69,1263,346,102.42,0.81,1,0,0,0,1,1,0,0
2023-01-07,69,1363,398,102.42,0.81,1,0,1,0,0,0,0,1
2023-01-07,90,1428,327,102.42,0.81,1,0,1,0,0,0,1,0
2023-01-07,88,837,328,102.42,0.81,1,0,1,0,0,1,0,0
2023-01-07,60,972,350,102.42,0.81,1,0,0,1,0,0,0,1
2023-01-07,80,1821,298,102.42,0.81,1,0,0,1,0,0,1,0
2023-01-07,56,643,311,102.42,0.81,1,0,0,1,0,1,0,0
2023-01-08,98,501,453,82.75,0.94,1,1,0,0,0,0,0,1
2023-01-08,61,952,236,82.75,0.94,1,1,0,0,0,0,1,0
2023-01-08,81,1514,208,82.75,0.94,1,1,0,0,0,1,0,0
2023-01-08,90,1622,346,82.75,0.94,1,0,0,0,1,0,0,1
2023-01-08,97,707,330,82.75,0.94,1,0,0,0,1,0,1,0
2023-01-08,69,651,253,82.75,0.94,1,0,0,0,1,1,0,0
2023-01-08,82,1127,274,82.75,0.94,1,0,1,0,0,0,0,1
2023-01-08,98,1943,303,82.75,0.94,1,0,1,0,0,0,1,0
2023-01-08,69,753,426,82.75,0.94,1,0,1,0,0,1,0,0
2023-01-08,97,1009,298,82.75,0.94,1,0,0,1,0,0,0,1
2023-01-08,74,1413,393,82.75,0.94,1,0,0,1,0,0,1,0
2023-01-08,84,1456,368,82.75,0.94,1,0,0,1,0,1,0,0
2023-01-09,85,660,267,89.87,1.03,0,1,0,0,0,0,0,1
2023-01-09,82,897,476,89.87,1.03,0,1,0,0,0,0,1,0
2023-01-09,97,1915,334,89.87,1.03,0,1,0,0,0,1,0,0
2023-01-09,52,900,327,89.87,1.03,0,0,0,0,1,0,0,1
2023-01-09,82,1187,221,89.87,1.03,0,0,0,0,1,0,1,0
2023-01-09,95,537,429,89.87,1.03,0,0,0,0,1,1,0,0
2023-01-09,94,1062,463,89.87,1.03,0,0,1,0,0,0,0,1
2023-01-09,76,526,425,89.87,1.03,0,0,1,0,0,0,1,0
2023-01-09,70,1297,296,89.87,1.03,0,0,1,0,0,1,0,0
2023-01-09,77,1378,346,89.87,1.03,0,0,0,1,0,0,0,1
2023-01-09,53,1046,391,89.87,1.03,0,0,0,1,0,0,1,0
2023-01-09,98,516,371,89.87,1.03,0,0,0,1,0,1,0,0
2023-01-10,77,657,245,90.92,0.86,0,1,0,0,0,0,0,1
2023-01-10,55,598,432,90.92,0.86,0,1,0,0,0,0,1,0
2023-01-10,86,779,380,90.92,0.86,0,1,0,0,0,1,0,0
2023-01-10,80,1622,387,90.92,0.86,0,0,0,0,1,0,0,1
2023-01-10,82,1639,390,90.92,0.86,0,0,0,0,1,0,1,0
2023-01-10,70,1427,360,90.92,0.86,0,0,0,0,1,1,0,0
2023-01-10,52,627,217,90.92,0.86,0,0,1,0,0,0,0,1
2023-01-10,74,1065,257,90.92,0.86,0,0,1,0,0,0,1,0
2023-01-10,52,1185,479,90.92,0.86,0,0,1,0,0,1,0,0
2023-01-10,99,1811,350,90.92,0.86,0,0,0,1,0,0,0,1
2023-01-10,51,654,472,90.92,0.86,0,0,0,1,0,0,1,0
2023-01-10,89,1916,498,90.92,0.86,0,0,0,1,0,1,0,0
2023-01-11,97,1562,369,114.66,0.98,0,1,0,0,0,0,0,1
2023-01-11,75,1420,212,114.66,0.98,0,1,0,0,0,0,1,0
2023-01-11,56,535,372,114.66,0.98,0,1,0,0,0,1,0,0
2023-01-11,69,820,463,114.66,0.98,0,0,0,0,1,0,0,1
2023-01-11,95,899,341,114.66,0.98,0,0,0,0,1,0,1,0
2023-01-11,61,970,342,114.66,0.98,0,0,0,0,1,1,0,0
2023-01-11,77,1877,487,114.66,0.98,0,0,1,0,0,0,0,1
2023-01-11,72,1353,250,114.66,0.98,0,0,1,0,0,0,1,0
2023-01-11,74,1074,389,114.66,0.98,0,0,1,0,0,1,0,0
2023-01-11,71,813,257,114.66,0.98,0,0,0,1,0,0,0,1
2023-01-11,71,804,379,114.66,0.98,0,0,0,1,0,0,1,0
2023-01-11,91,1337,470,114.66,0.98,0,0,0,1,0,1,0,0
2023-01-12,92,943,300,100.68,0.86,0,1,0,0,0,0,0,1
2023-01-12,82,763,252,100.68,0.86,0,1,0,0,0,0,1,0
2023-01-12,93,504,302,100.68,0.86,0,1,0,0,0,1,0,0
2023-01-12,53,1273,246,100.68,0.86,0,0,0,0,1,0,0,1
2023-01-12,84,1322,343,100.68,0.86,0,0,0,0,1,0,1,0
2023-01-12,62,869,323,100.68,0.86,0,0,0,0,1,1,0,0
2023-01-12,91,1156,319,100.68,0.86,0,0,1,0,0,0,0,1
